standard_type,age_group,age,gender,event,course,b,bb,a,aa,aaa,aaaa
single_age,,18,boys,100 fl,scy,49.19,51.59,53.89,56.19,60.89,65.59
single_age,,18,boys,200 fl,scy,110.69,115.89,121.19,126.49,136.99,147.49
single_age,,18,boys,200 im,scy,110.89,116.19,121.49,126.79,137.29,147.89
single_age,,18,boys,400 im,scy,239.39,250.79,262.19,273.59,296.39,319.09
single_age,,10,girls,50 fr,scm,44.09,39.89,35.59,34.19,32.79,31.29
single_age,,10,girls,100 fr,scm,100.39,89.69,78.99,75.49,71.89,68.29
single_age,,10,girls,200 fr,scm,223.99,199.49,174.99,166.79,158.59,150.39
single_age,,10,girls,400 fr,scm,452.69,407.49,362.19,347.09,331.99,316.89
single_age,,10,girls,50 bk,scm,53.69,47.79,41.89,39.99,37.99,36.09
single_age,,10,girls,100 bk,scm,116.89,103.89,90.89,86.59,82.29,77.99
single_age,,10,girls,50 br,scm,60.29,53.79,47.29,45.09,42.99,40.79
single_age,,10,girls,100 br,scm,132.89,118.19,103.39,98.49,93.59,88.69
single_age,,10,girls,50 fl,scm,53.49,47.19,40.89,38.79,36.69,34.59
single_age,,10,girls,100 fl,scm,128.89,112.09,95.19,89.49,83.89,78.29
single_age,,10,girls,100 im,scm,115.99,103.69,91.29,87.19,83.09,78.99
single_age,,10,girls,200 im,scm,246.39,220.59,194.69,186.09,177.49,168.89
single_age,,10,boys,50 fr,scm,30.49,31.89,33.19,34.49,38.39,42.39
single_age,,10,boys,100 fr,scm,67.49,70.79,74.19,77.59,87.69,97.69
single_age,,10,boys,200 fr,scm,146.69,153.69,160.69,167.59,188.59,209.49
single_age,,10,boys,400 fr,scm,308.99,323.79,338.49,353.19,397.29,441.49
single_age,,10,boys,50 bk,scm,35.79,37.79,39.69,41.69,47.69,53.59
single_age,,10,boys,100 bk,scm,76.49,80.39,84.39,88.29,99.99,111.69
single_age,,10,boys,50 br,scm,40.29,42.39,44.49,46.49,52.79,59.09
single_age,,10,boys,100 br,scm,88.09,92.49,96.89,101.29,114.49,127.59
single_age,,10,boys,50 fl,scm,34.09,35.99,37.89,39.79,45.59,51.39
single_age,,10,boys,100 fl,scm,77.29,82.69,88.09,93.49,109.69,125.89
single_age,,10,boys,100 im,scm,77.19,80.89,84.59,88.19,99.29,110.29
single_age,,10,boys,200 im,scm,166.69,175.09,183.39,191.69,216.59,241.59
single_age,,11,girls,50 fr,scm,39.09,36.39,33.69,32.39,30.99,29.69
single_age,,11,girls,100 fr,scm,85.89,79.69,73.59,70.49,67.49,64.39
single_age,,11,girls,200 fr,scm,186.89,173.49,160.19,153.49,146.89,140.19
single_age,,11,girls,400 fr,scm,397.29,368.89,340.49,326.39,312.19,297.99
single_age,,11,girls,800 fr,scm,826.39,767.39,708.39,678.89,649.39,619.79
single_age,,11,girls,1500 fr,scm,1595.29,1481.39,1367.39,1310.49,1253.49,1196.49
single_age,,11,girls,50 bk,scm,44.89,41.69,38.49,36.89,35.29,33.69
single_age,,11,girls,100 bk,scm,100.19,92.29,84.39,80.49,76.49,72.59
single_age,,11,girls,200 bk,scm,209.69,194.69,179.69,172.19,164.69,157.29
single_age,,11,girls,50 br,scm,50.29,46.69,43.09,41.29,39.49,37.69
single_age,,11,girls,100 br,scm,110.79,102.69,94.49,90.39,86.29,82.19
single_age,,11,girls,200 br,scm,237.99,220.99,203.99,195.49,186.99,178.49
single_age,,11,girls,50 fl,scm,42.99,39.89,36.79,35.29,33.79,32.19
single_age,,11,girls,100 fl,scm,100.29,92.29,84.29,80.29,76.29,72.29
single_age,,11,girls,200 fl,scm,217.09,201.59,186.09,178.29,170.59,162.79
single_age,,11,girls,100 im,scm,97.99,90.99,83.99,80.49,76.99,73.49
single_age,,11,girls,200 im,scm,212.99,197.79,182.59,174.99,167.39,159.79
single_age,,11,girls,400 im,scm,455.39,422.89,390.39,374.09,357.79,341.59
single_age,,11,boys,50 fr,scm,29.09,30.49,31.89,33.19,35.99,38.79
single_age,,11,boys,100 fr,scm,62.99,65.99,68.99,71.99,77.99,83.99
single_age,,11,boys,200 fr,scm,138.09,144.69,151.19,157.79,170.99,184.09
single_age,,11,boys,400 fr,scm,292.89,306.79,320.69,334.69,362.59,390.49
single_age,,11,boys,800 fr,scm,615.99,645.39,674.69,703.99,762.69,821.39
single_age,,11,boys,1500 fr,scm,1186.99,1243.49,1299.99,1356.49,1469.49,1582.59
single_age,,11,boys,50 bk,scm,33.39,35.09,36.89,38.59,42.09,45.59
